lemma,count
iber,1049
hot,1047
beweis,1046
westlich,1046
ian,1046
pfd,1045
hierzu,1045
wem,1045
geschäftsführer,1044
boi,1042
sonntags,1042
sten,1041
gabe,1040
nes,1039
bat,1039
beruf,1038
iel,1038
halt,1037
ese,1037
japan,1034
bevor,1034
falsch,1032
sechs,1032
gustav,1031
arbeiterschaft,1031
rin,1031
def,1030
verfahren,1030
pre,1030
natur,1030
sämtlicher,1029
aufruf,1028
wid,1027
bayerisch,1026
begrüßen,1026
dauern,1026
amd,1024
vei,1023
irgend,1023
anna,1022
unf,1022
aenderung,1021
dicht,1019
hein,1018
ungarisch,1018
verhaften,1018
verhandeln,1017
meyer,1016
bezahlen,1016
ses,1016
landwirtschaft,1015
inter,1015
universität,1015
fes,1014
gere,1014
lehnen,1012
siß,1011
egen,1011
fic,1011
stü,1011
wehe,1010
sorgen,1010
fre,1009
gat,1009
durchführung,1007
fuchen,1007
söhne,1006
res,1006
arbeiterin,1006
uni,1005
königl,1005
mun,1002
char,1001
charakter,1001
bock,1000
besuch,1000
saal,999
abstimmung,999
sozialistisch,999
nnen,998
kar,997
damm,997
fil,997
abgabe,997
nieder,996
wild,994
anlaß,994
het,994
rau,993
farbig,992
wiederholt,989
aktienkapital,989
teilung,988
gend,988
kredit,987
zul,987
protest,986
österreichisch,986
frank,986
jan,984
wiederum,983
tatsächlich,983
mut,982
telephon,982
isch,982
händler,980
verfügen,980
feit,979
tes,979
aufheben,979
marie,979
division,978
nis,978
liste,978
entschließung,978
bayern,977
selten,976
zugleich,976
far,975
ring,974
sitzen,974
ereignis,974
borlin,973
verurteilen,973
eingang,972
san,971
reden,971
braun,970
zimm,970
dunkel,969
begeben,969
seide,969
verbinden,967
hinweisen,967
bruno,966
haushalt,966
uud,965
schlecht,965
frisch,965
richter,964
konto,964
deutlich,964
erneut,963
weh,963
fürst,960
berli,959
erl,959
mod,959
vermeiden,959
rasch,959
verlaufen,959
geit,958
weer,958
inzwischen,957
veranlassen,957
antworten,956
hem,956
dru,956
luft,956
drohen,955
ministerpräsident,955
verhalten,955
grundbuch,954
nommen,954
künstler,954
vergessen,954
kopenhagen,953
fahrt,952
zar,952
erzählen,952
verbündeter,952
julius,951
gestatten,951
brot,951
ded,950
roh,949
erweisen,949
lei,948
wre,947
redaktion,946
straßenbahn,946
bauen,945
zweck,945
sorge,944
zeugnis,944
gemäß,944
fassung,944
kurfürstendamm,944
werner,943
militär,942
jed,941
gründen,941
durchführen,941
begründen,940
wach,940
tier,939
friedrichstr,939
negierung,938
belegen,938
ausnahme,937
danach,936
daraus,936
eisern,935
faust,935
beh,935
sonn,935
angehörige,934
zahn,933
iin,932
feh,931
viele,931
vad,931
pfennig,930
grün,929
gesund,929
komfort,929
aeg,929
zel,928
dey,928
baden,928
bli,928
lee,927
tin,927
einheitlich,927
parlament,926
wehr,926
nei,925
junge,923
eri,923
zweimal,923
fördern,922
sicht,922
eue,922
unterricht,922
dun,921
vereinigung,921
leutnant,920
gierung,920
bestellen,919
erd,919
fut,918
niet,917
mund,917
eisenbahn,914
amen,914
unten,914
fal,914
wig,913
nord,911
erledigen,911
ztr,911
fritz,911
empfangen,909
problem,909
stern,908
pot,907
grunewald,907
wern,906
eingehend,906
fett,906
morgens,906
aas,906
tote,906
teils,905
bed,905
mächt,904
wider,904
einigung,904
bedürfen,901
dier,901
behalten,901
meh,900
wiederholen,900
els,900
wand,899
unb,899
seh,899
stenotypistin,899
bürgerlich,897
est,896
jer,896
bil,894
mem,894
geraten,893
summe,893
att,893
finnland,892
